QueryResult

# Config entry for catalogue:
serv_type: local
symbol: {PA A_I B_I AREA} {ellipse white {double($B_I)/double($A_I)} {($PA)} {} {}} {{sqrt(7.0*$AREA*double($B_I)/(22.0*double($A_I)))} {}}
# End config entry

# CURSA extensions for info and readability:
#column-units: none 	DEGREES{IHMS.3}	DEGREES{+IDMS.2}	mas/yr          	mas/yr          	mas/yr          	mas/yr          	magnitude       	magnitude       	magnitude       	magnitude       	pixels          	0.01 micron     	0.01 micron     	degrees         	                	sigma           	                	                
#column-types: INTEGER	DOUBLE	DOUBLE	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	INTEGER	INTEGER	INTEGER	INTEGER	INTEGER	REAL	INTEGER	INTEGER
#column-formats: I6	F11.7	F11.7	E12.4	E12.4	E12.4	E12.4	F7.3 	F7.3 	F7.3 	F7.3 	I9   	I7   	I7   	I3   	I2   	F8.3 	I6   	I10  

id	ra	dec	MU_ACOSD	MU_D	SIGMU_A	SIGMU_D	B_J	R_1	R_2	I	AREA	A_I	B_I	PA	CLASS	N_0_1	BLEND	QUALITY
000305	 10.8099850	 61.3573083	  0.2172E+01	  0.6408E+01	  0.2842E+01	  0.2501E+01	   18.049	   16.723	   17.076	   16.549	      111	   4848	   4627	166	 2	  -0.565	     1	         0
000306	 11.1641451	 61.3574000	 -0.2173E+01	  0.3245E+01	  0.3508E+01	  0.3411E+01	   19.940	   18.204	   17.907	   16.856	      100	   4679	   4309	 39	 2	   0.245	     0	         0
000307	 10.8700189	 61.3574767	 -0.3940E-01	 -0.6254E+01	  0.5053E+01	  0.5008E+01	   21.477	   19.310	   19.354	   17.733	       73	   3994	   3815	 81	 2	   0.731	     0	         0
000308	 10.8949460	 61.3574825	  0.1051E+01	  0.4321E+01	  0.3121E+01	  0.2976E+01	   19.339	   17.659	   17.681	   16.855	      104	   4750	   4396	 83	 2	   0.233	     0	         0
000309	 10.9937692	 61.3576177	 -0.1085E+03	 -0.1505E+03	  0.9305E+02	  0.9371E+02	   99.999	   99.999	   21.585	   20.289	       14	   2538	   1688	 42	 2	   0.747	     0	         0
000310	 10.9380347	 61.3578028	 -0.1640E+02	  0.3210E+02	  0.1002E+03	  0.1030E+03	   99.999	   99.999	   21.114	   20.239	       15	   3144	   1532	 34	 2	   1.018	     0	         0
000311	 11.1777018	 61.3579752	  0.6782E+01	  0.3365E+02	  0.3083E+01	  0.2581E+01	   15.650	   13.784	   14.389	   14.276	      202	   6546	   6457	 21	 2	  -0.538	     0	         0
000312	 10.9719619	 61.3580130	  0.2291E+02	 -0.4572E+02	  0.5447E+02	  0.5466E+02	   22.281	   99.999	   21.053	   20.247	       12	   2308	   1392	135	 2	  -1.491	     0	         0
000313	 11.0668488	 61.3580686	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.704	        8	   2027	   1485	102	 2	  -0.307	     0	         0
000314	 11.2790054	 61.3580898	 -0.2644E+02	  0.4664E+01	  0.4061E+01	  0.3962E+01	   18.621	   17.421	   17.963	   17.281	       93	   5111	   4043	141	 2	   0.731	     1	         0
000315	 11.2821303	 61.3582749	  0.1154E+03	  0.2136E+02	  0.4619E+01	  0.4521E+01	   21.099	   99.999	   19.784	   18.996	       34	   3157	   2703	111	 2	   0.101	     3	         0
000316	 11.2467456	 61.3583213	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.582	        9	   2167	   1385	 91	 2	  -0.524	     0	         0
000317	 11.0727394	 61.3584817	  0.1539E+03	 -0.3654E+02	  0.7925E+02	  0.7997E+02	   99.999	   99.999	   20.751	   19.879	       17	   2222	   1913	139	 2	  -2.053	     0	         0
000318	 11.3049065	 61.3585969	  0.2332E+02	 -0.1101E+02	  0.7969E+01	  0.8072E+01	   20.802	   19.390	   19.330	   18.119	       75	   5164	   4200	 94	 1	   8.059	     0	         0
000319	 11.2424638	 61.3586135	 -0.4680E+01	  0.9804E+02	  0.4897E+02	  0.4859E+02	   21.981	   99.999	   20.866	   19.448	       30	   3354	   2378	107	 2	   1.595	     0	         0
000320	 10.9015184	 61.3586404	 -0.1819E+01	 -0.1861E+01	  0.5774E+01	  0.5818E+01	   19.953	   18.356	   18.602	   17.833	       62	   3886	   3386	 87	 2	  -0.069	     0	         0
000321	 11.2533609	 61.3587871	  0.3937E+02	 -0.7625E+02	  0.5060E+02	  0.5052E+02	   21.952	   99.999	   20.550	   19.837	       21	   2964	   2274	172	 2	   1.908	     0	         0
000322	 10.9635319	 61.3589727	 -0.1182E+02	 -0.8205E+01	  0.7063E+01	  0.7009E+01	   21.993	   20.600	   20.146	   19.229	       34	   3072	   2857	 77	 2	   1.092	     0	         0
000323	 11.2070734	 61.3592397	 -0.2659E+01	  0.1228E+00	  0.7063E+01	  0.7019E+01	   21.990	   20.450	   20.181	   19.510	       29	   2884	   2827	 47	 2	   1.537	     0	         0
000324	 11.1989105	 61.3593526	 -0.2871E+01	 -0.2411E+00	  0.8310E+01	  0.8450E+01	   21.381	   19.740	   19.622	   18.313	       55	   4933	   2951	133	 1	   5.604	     0	         0
000325	 10.8619213	 61.3594729	  0.8748E+02	  0.6472E+01	  0.8634E+02	  0.8748E+02	   99.999	   99.999	   20.276	   19.839	       22	   2809	   2242	 70	 2	   0.942	     0	         0
000326	 11.1919696	 61.3596265	  0.1507E+03	  0.6633E+02	  0.8889E+02	  0.8997E+02	   99.999	   99.999	   21.165	   20.511	        9	   1873	   1333	 21	 2	  -0.955	     0	         0
000327	 10.8114220	 61.3598557	 -0.1574E+01	  0.7599E+01	  0.6686E+01	  0.6735E+01	   20.531	   18.694	   19.185	   18.214	       53	   3959	   2952	 21	 2	   0.044	     0	         0
000328	 11.1525771	 61.3599823	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.714	       17	   3378	   1547	  9	 1	   2.574	     0	         0
000329	 10.8981569	 61.3602235	  0.4071E+01	 -0.2835E+00	  0.6033E+01	  0.5978E+01	   21.415	   19.806	   19.707	   18.528	       45	   3530	   3033	 67	 2	  -0.310	     0	         0
000330	 10.8070205	 61.3603673	  0.3375E+02	  0.1381E+03	  0.5228E+02	  0.5221E+02	   22.277	   99.999	   20.659	   19.859	       20	   3179	   2025	 19	 2	   1.077	     0	         0
000331	 10.9347637	 61.3604034	 -0.1628E+02	  0.3725E+01	  0.3966E+01	  0.3880E+01	   20.039	   18.528	   18.502	   17.742	       64	   3629	   3569	 75	 2	  -1.484	     0	         0
000332	 11.2486317	 61.3604269	 -0.3474E+02	 -0.4604E+02	  0.8200E+02	  0.8234E+02	   99.999	   99.999	   20.998	   19.788	       20	   3206	   1662	 46	 2	   0.386	     0	         0
000333	 10.8440382	 61.3606011	 -0.4842E+01	 -0.6787E+01	  0.7041E+01	  0.7010E+01	   99.999	   20.258	   20.491	   19.860	       18	   2542	   1756	 20	 2	  -1.573	     0	         0
000334	 11.2357448	 61.3606297	 -0.3808E+00	 -0.1494E+01	  0.2893E+01	  0.2442E+01	   16.485	   15.075	   15.247	   14.374	      194	   6510	   6203	 96	 2	  -0.450	     0	         0
000335	 11.2075042	 61.3608818	 -0.2807E+02	  0.6739E+01	  0.8644E+01	  0.8808E+01	   21.770	   19.909	   20.046	   19.486	       21	   3062	   2331	 69	 1	   2.545	     0	         0
000336	 10.8499780	 61.3608990	  0.6399E+00	 -0.6319E+01	  0.8120E+01	  0.8216E+01	   21.062	   19.492	   19.472	   18.380	       48	   3719	   3136	156	 1	   2.555	     0	         0
000337	 11.0233155	 61.3609225	 -0.1328E+02	  0.2761E+01	  0.4283E+01	  0.4185E+01	   19.817	   18.770	   18.655	   17.932	       67	   4620	   3258	 90	 2	   1.891	     0	         0
000338	 10.9836451	 61.3609219	  0.2144E+01	  0.1056E+02	  0.8048E+01	  0.8151E+01	   21.336	   19.333	   19.506	   18.434	       50	   4739	   2679	 34	 1	   3.401	     0	         0
000339	 10.8785892	 61.3613345	  0.3534E+01	  0.5336E+01	  0.5933E+01	  0.5979E+01	   20.704	   18.423	   19.053	   17.820	       73	   4432	   3422	 78	 2	   1.549	     0	         0
000340	 11.2770613	 61.3615952	 -0.4676E+01	  0.2355E+01	  0.3979E+01	  0.3833E+01	   19.627	   18.183	   18.549	   17.090	      121	   6379	   4283	 21	 1	   4.649	     0	         0
000341	 10.8972625	 61.3619361	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.667	       15	   2332	   2299	169	 1	   2.995	     0	         0
000342	 10.8628558	 61.3621355	  0.7013E+01	  0.1155E+01	  0.3781E+01	  0.3633E+01	   19.550	   17.999	   18.113	   17.158	      107	   6308	   3683	 21	 1	   3.326	     0	         0
000343	 10.8692105	 61.3621469	  0.1041E+02	  0.5922E+02	  0.5875E+02	  0.6010E+02	   21.842	   99.999	   20.442	   20.351	       12	   2059	   1808	143	 2	  -1.023	     0	         0
000344	 10.9991527	 61.3622094	  0.6271E+02	  0.1249E+03	  0.8561E+02	  0.8632E+02	   99.999	   99.999	   21.089	   20.192	       14	   2195	   1814	 54	 2	  -0.863	     0	         0
000345	 11.0130550	 61.3624930	  0.1119E+02	 -0.3145E+01	  0.8350E+01	  0.8505E+01	   99.999	   19.809	   20.818	   19.993	       18	   2955	   1728	163	 2	   0.464	     0	         0
000346	 10.9649133	 61.3625600	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.733	        8	   2330	   1187	 36	 2	   0.354	     0	         0
000347	 11.3197524	 61.3626740	  0.2382E+02	 -0.1312E+02	  0.4223E+01	  0.4068E+01	   99.999	   99.999	   20.965	   19.766	       17	   3440	   1763	 28	 1	   2.213	     0	         0
000348	 11.1890544	 61.3627663	 -0.3807E+01	 -0.7329E+01	  0.6450E+01	  0.6408E+01	   21.385	   19.852	   19.828	   18.682	       41	   4021	   2692	 71	 1	   1.989	     0	         0
000349	 10.9689292	 61.3629783	  0.1868E+01	  0.3460E+01	  0.6277E+01	  0.6170E+01	   21.086	   19.844	   19.784	   18.992	       37	   3782	   2423	 72	 2	   1.208	     0	         0
000350	 11.3022451	 61.3632562	 -0.5905E+01	 -0.3089E+01	  0.4793E+01	  0.4791E+01	   19.596	   17.955	   18.295	   17.355	       77	   4223	   3774	 70	 2	  -0.358	     3	         0
000351	 11.2844416	 61.3632802	  0.2421E+01	  0.1044E+01	  0.5619E+01	  0.5605E+01	   19.594	   18.172	   18.287	   17.413	      101	   6010	   3722	 67	 1	   5.491	     0	         0
000352	 10.8034177	 61.3633226	 -0.1465E+01	 -0.2494E+01	  0.3579E+01	  0.3480E+01	   19.414	   18.215	   18.196	   17.467	       83	   4480	   3763	117	 2	   0.726	     0	         0
000353	 11.3171598	 61.3635421	  0.5479E+00	  0.1725E+01	  0.3707E+01	  0.3560E+01	   19.253	   18.324	   18.148	   17.429	       73	   4004	   3735	 69	 2	  -1.043	     0	         0
000354	 11.2196303	 61.3636383	  0.4125E+01	  0.4897E+01	  0.8548E+01	  0.8703E+01	   21.034	   20.183	   19.694	   19.029	       18	   2748	   2270	 35	 4	  -4.523	     2	         0
000355	 10.8287362	 61.3637793	 -0.1198E+01	  0.1081E+02	  0.6452E+01	  0.6352E+01	   21.373	   20.015	   19.928	   18.789	       46	   3546	   3007	 71	 2	   1.932	     0	         0
000356	 11.0792986	 61.3638217	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.712	        8	   2122	   1099	162	 2	  -2.240	     0	         0
000357	 10.8101987	 61.3638612	 -0.3756E+02	  0.7308E+02	  0.9826E+02	  0.9943E+02	   99.999	   99.999	   21.200	   19.654	       17	   3054	   2176	133	 1	   3.323	     0	         0
000358	 11.1578019	 61.3641007	  0.7635E+02	  0.6852E+02	  0.9673E+02	  0.9894E+02	   99.999	   99.999	   20.709	   20.561	       10	   2682	   1113	130	 2	   1.199	     0	         0
000359	 11.1040034	 61.3641425	 -0.3770E+01	 -0.1384E+02	  0.6569E+01	  0.6514E+01	   21.502	   20.152	   19.855	   18.899	       37	   3138	   2923	142	 2	  -0.260	     0	         0
000360	 11.2134991	 61.3642440	 -0.7931E+01	  0.2745E+01	  0.3764E+01	  0.2990E+01	   15.081	   12.559	   12.590	   11.014	      514	  10751	   9671	 97	 2	   0.496	     1	         0
000361	 10.8374262	 61.3643282	  0.1573E+02	 -0.2226E+03	  0.8966E+02	  0.9073E+02	   99.999	   99.999	   21.223	   20.548	       11	   2746	   1483	 24	 2	   1.095	     0	         0
000362	 11.1965728	 61.3643889	  0.2914E+01	 -0.9441E+01	  0.2868E+01	  0.2567E+01	   18.266	   16.993	   16.659	   15.864	      137	   5992	   4719	 18	 2	   0.493	     0	         0
000363	 11.2382091	 61.3644067	  0.2393E+02	  0.2053E+03	  0.6799E+02	  0.6979E+02	   22.177	   99.999	   20.349	   19.658	       15	   3760	   1787	169	 1	   3.210	     0	         0
000364	 10.9232656	 61.3645281	 -0.1023E+02	 -0.7630E+02	  0.1040E+03	  0.1063E+03	   99.999	   99.999	   20.730	   19.523	       20	   3604	   1747	 94	 1	   2.275	     0	         0
000365	 11.3043341	 61.3645430	 -0.8632E+01	  0.9506E+00	  0.6575E+01	  0.6476E+01	   21.481	   20.072	   19.968	   19.128	       33	   3056	   2703	136	 2	   0.535	     2	         0
000366	 11.0459015	 61.3646977	 -0.2248E+01	 -0.2060E+01	  0.3205E+01	  0.3002E+01	   19.364	   17.785	   17.484	   16.487	      118	   6059	   4112	 87	 2	   1.264	     0	         0
000367	 10.9570054	 61.3647734	  0.7103E+02	  0.3322E+02	  0.9739E+02	  0.9816E+02	   99.999	   99.999	   21.281	   19.327	       22	   3682	   2008	  8	 1	   3.407	     0	         0
000368	 11.0337101	 61.3649269	  0.6099E+01	 -0.2509E+01	  0.5861E+01	  0.5780E+01	   20.987	   19.542	   19.465	   18.224	       55	   4127	   3021	 40	 1	   2.083	     2	         0
000369	 11.2677210	 61.3650226	 -0.1164E+02	 -0.5230E+01	  0.8172E+01	  0.8312E+01	   21.443	   19.826	   20.211	   19.371	       25	   2596	   2375	 75	 2	  -1.246	     0	         0
000370	 11.2788066	 61.3651767	 -0.2319E+01	  0.1095E+02	  0.5691E+01	  0.5591E+01	   20.995	   19.562	   19.457	   18.585	       43	   3298	   2927	  7	 2	  -0.485	     0	         0
000371	 11.3204675	 61.3652323	 -0.4635E+02	  0.3603E+03	  0.9958E+02	  0.1003E+03	   99.999	   99.999	   21.457	   19.326	       24	   3969	   1800	153	 1	   3.452	     0	         0
000372	 10.8185708	 61.3652449	  0.5567E+01	  0.1309E+02	  0.7098E+01	  0.7034E+01	   99.999	   20.348	   20.322	   19.938	       17	   2182	   2098	 45	 2	  -1.315	     0	         0
000373	 11.2951227	 61.3653016	 -0.3044E+01	  0.5726E+01	  0.2881E+01	  0.2526E+01	   18.332	   16.457	   16.278	   16.441	      203	   7848	   5257	126	 1	   3.336	     1	         0
000374	 11.2631413	 61.3653234	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.332	       19	   5507	   1459	 83	 1	   6.639	     0	         0
000375	 10.8778089	 61.3654111	 -0.7240E+01	 -0.5063E+01	  0.3124E+01	  0.2926E+01	   19.284	   17.646	   17.785	   16.806	       98	   4926	   4064	 52	 2	  -0.637	     0	         0
000376	 11.3066850	 61.3654684	  0.3143E+01	 -0.5081E+01	  0.6295E+01	  0.6242E+01	   21.186	   19.885	   19.786	   19.015	       37	   3470	   2739	  6	 2	   1.666	     1	         0
000377	 11.0375816	 61.3655457	  0.1523E+02	  0.1235E+02	  0.4458E+01	  0.4363E+01	   20.553	   18.878	   18.900	   17.935	       59	   3681	   3393	157	 2	  -0.570	     1	         0
000378	 11.1771014	 61.3655715	 -0.1148E+02	 -0.5896E+00	  0.6617E+01	  0.6563E+01	   21.364	   20.089	   19.460	   19.062	       32	   3004	   2525	 74	 2	  -0.654	     0	         0
000379	 11.2942919	 61.3655990	 -0.6354E+01	  0.7980E+01	  0.2904E+01	  0.2546E+01	   18.332	   16.457	   16.278	   17.445	      117	   9884	   5384	129	 1	  10.982	     2	         0
000380	 10.9964203	 61.3656145	  0.1016E+01	  0.6793E+00	  0.3042E+01	  0.2800E+01	   18.886	   17.477	   17.461	   16.460	      117	   5053	   4560	 82	 2	  -0.053	     0	         0
000381	 11.1505786	 61.3657589	 -0.6962E-01	 -0.1412E+01	  0.4183E+01	  0.4133E+01	   20.199	   18.716	   18.655	   17.820	       60	   3701	   3385	 15	 2	  -1.712	     0	         0
000382	 11.0880781	 61.3658620	 -0.4287E+01	  0.1644E+02	  0.8850E+01	  0.8991E+01	   99.999	   20.270	   20.060	   18.563	       49	   4682	   2825	 95	 1	   5.347	     0	         0
000383	 10.9880459	 61.3659015	  0.5853E+01	  0.5146E+01	  0.8535E+01	  0.8669E+01	   99.999	   20.094	   20.602	   19.777	       22	   3047	   1970	176	 2	   1.761	     0	         0
000384	 11.2415299	 61.3659221	  0.4202E+02	  0.8295E+02	  0.5397E+02	  0.5467E+02	   21.685	   99.999	   19.930	   19.627	       23	   2601	   2268	112	 2	  -0.002	     0	         0
000385	 10.8474117	 61.3661995	  0.1374E+02	 -0.1393E+02	  0.7013E+01	  0.7072E+01	   20.611	   18.716	   19.466	   18.087	       72	   5016	   3772	134	 1	   3.630	     2	         0
000386	 10.9246688	 61.3665644	 -0.1248E+03	 -0.2148E+03	  0.8513E+02	  0.8627E+02	   99.999	   99.999	   20.187	   19.850	       20	   2554	   2480	151	 2	  -0.529	     0	         0
000387	 11.1238599	 61.3665679	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.662	        8	   2025	   1509	106	 2	  -0.145	     0	         0
000388	 11.0150586	 61.3666309	 -0.2926E+02	  0.1354E+03	  0.9501E+02	  0.9721E+02	   99.999	   99.999	   20.692	   20.367	       13	   2211	   1765	104	 2	  -0.094	     0	         0
000389	 11.2305813	 61.3666366	 -0.4787E+01	 -0.1360E+02	  0.7334E+01	  0.7250E+01	   21.701	   20.473	   19.901	   19.102	       30	   3425	   2524	143	 1	   2.398	     0	         0
000390	 11.1608311	 61.3666487	  0.4085E+01	  0.6768E+01	  0.7926E+01	  0.8010E+01	   21.114	   19.732	   19.557	   18.696	       36	   3095	   2947	166	 2	  -1.280	     2	         0
000391	 11.0311295	 61.3666802	  0.1933E+02	  0.5912E+02	  0.5487E+02	  0.5554E+02	   21.880	   99.999	   20.797	   20.729	        8	   2576	   1228	 76	 2	   0.266	     0	         0
000392	 11.3113649	 61.3668045	 -0.1608E+03	  0.1215E+03	  0.8152E+02	  0.8152E+02	   99.999	   99.999	   21.062	   19.520	       26	   3571	   2397	115	 2	   1.937	     0	         0
000393	 11.1895861	 61.3668635	  0.1515E+01	  0.5342E+00	  0.6990E+01	  0.6918E+01	   20.992	   19.977	   19.978	   19.047	       30	   3390	   2647	105	 1	   3.770	     0	         0
000394	 11.0195982	 61.3668715	  0.7871E+02	 -0.1140E+03	  0.7934E+02	  0.7969E+02	   99.999	   99.999	   20.855	   19.696	       22	   2672	   2085	 65	 2	  -0.115	     0	         0
000395	 10.8907537	 61.3670572	 -0.9617E+00	 -0.1275E+01	  0.4918E+01	  0.4821E+01	   20.501	   19.082	   19.437	   18.525	       41	   3403	   2723	122	 2	  -1.149	     0	         0
000396	 11.2705600	 61.3670807	  0.3072E+01	 -0.5640E+00	  0.4126E+01	  0.4028E+01	   19.900	   18.662	   18.598	   17.812	       69	   4176	   3465	 18	 2	   0.968	     0	         0
000397	 10.8458745	 61.3671832	 -0.5369E+02	  0.8615E+02	  0.7142E+01	  0.7186E+01	   21.775	   99.999	   20.400	   19.415	       26	   3625	   2393	 49	 2	  -0.246	     1	         0
000398	 11.1434762	 61.3673878	 -0.5293E+01	  0.1160E+01	  0.2918E+01	  0.2665E+01	   19.396	   17.230	   17.059	   15.552	      145	   5483	   5367	 84	 2	   0.002	     0	         0
000399	 11.1788942	 61.3675396	 -0.1123E+02	  0.9634E+01	  0.7616E+01	  0.7664E+01	   20.731	   18.962	   19.453	   18.383	       51	   4724	   3030	 61	 1	   3.002	     1	         0
000400	 10.8594095	 61.3675448	 -0.1317E+03	 -0.1157E+02	  0.5535E+02	  0.5608E+02	   22.055	   99.999	   21.256	   20.658	        8	   1731	   1372	 90	 2	  -2.382	     0	         0
000401	 11.2775988	 61.3675832	  0.4351E+02	 -0.6953E+01	  0.5987E+02	  0.6006E+02	   22.189	   99.999	   20.057	   19.203	       25	   3269	   2310	 32	 1	   2.721	     0	         0
000402	 10.9665056	 61.3678043	 -0.6719E+01	  0.8734E+00	  0.4907E+01	  0.4859E+01	   20.456	   19.100	   18.836	   17.720	       76	   6362	   3491	 58	 1	   3.481	     0	         0
000403	 11.2421201	 61.3680249	 -0.1326E+01	  0.5532E+01	  0.2915E+01	  0.2670E+01	   19.041	   17.241	   16.971	   15.635	      140	   5413	   5240	 50	 2	  -0.518	     0	         0
000404	 11.1568639	 61.3680748	 -0.5231E+01	  0.6356E+01	  0.2902E+01	  0.2434E+01	   17.681	   15.070	   14.892	   13.300	      273	   7856	   7167	105	 2	   0.283	     1	         0
000405	 11.1762780	 61.3680868	 -0.1087E+03	  0.4099E+02	  0.7846E+01	  0.7915E+01	   99.999	   99.999	   20.063	   20.196	       14	   2810	   1521	155	 2	   0.422	     2	         0
000406	 11.1905344	 61.3681945	  0.2079E+02	  0.9124E+02	  0.6844E+01	  0.6785E+01	   99.999	   99.999	   20.920	   20.376	       11	   2504	   1447	 67	 2	  -0.168	     0	         0
000407	 10.9905458	 61.3681974	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.660	       12	   3414	   1659	149	 1	   4.615	     0	         0
000408	 10.8106760	 61.3682902	 -0.3654E+02	  0.1882E+03	  0.9869E+02	  0.9988E+02	   99.999	   99.999	   21.163	   19.766	       17	   3593	   1715	161	 1	   2.826	     0	         0
000409	 11.1084507	 61.3683412	  0.1437E+03	 -0.1338E+03	  0.8293E+02	  0.8368E+02	   99.999	   99.999	   20.794	   20.354	       12	   2565	   1277	163	 2	   0.215	     0	         0
000410	 10.8799357	 61.3685320	 -0.1285E+03	  0.2694E+02	  0.9791E+02	  0.9869E+02	   99.999	   99.999	   21.151	   19.608	       16	   3090	   2220	101	 1	   3.429	     0	         0
000411	 10.8689721	 61.3686133	 -0.3445E+01	 -0.3989E+01	  0.3342E+01	  0.3202E+01	   18.951	   17.983	   17.981	   17.254	       94	   6375	   3777	 56	 2	   2.292	     0	         0
000412	 11.1394185	 61.3689537	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.113	       10	   3028	   1016	 76	 1	   0.472	     0	         0
000413	 11.0098498	 61.3690029	 -0.2413E+00	  0.1445E+02	  0.8704E+01	  0.8851E+01	   22.319	   20.409	   20.776	   19.909	       20	   3446	   1739	139	 2	   1.454	     0	         0
000414	 11.1645737	 61.3690322	  0.3943E+02	  0.1224E+03	  0.7744E+02	  0.7780E+02	   99.999	   99.999	   20.713	   19.656	       22	   2712	   2286	164	 2	  -0.508	     0	         0
000415	 11.2224854	 61.3691267	  0.2560E+01	 -0.2868E+01	  0.3151E+01	  0.2958E+01	   18.866	   17.667	   17.574	   16.709	      110	   5114	   4388	 91	 2	   1.341	     0	         0
000416	 11.1826390	 61.3691439	 -0.9968E+02	  0.1236E+02	  0.5577E+02	  0.5684E+02	   21.969	   99.999	   20.795	   19.789	       20	   2794	   2115	117	 2	   0.653	     0	         0
000417	 11.3178244	 61.3692327	  0.1161E+03	 -0.4723E+02	  0.5799E+02	  0.5884E+02	   21.485	   99.999	   20.032	   18.616	       45	   5087	   3091	135	 1	   6.688	     0	         0
000418	 10.9457238	 61.3692671	  0.8762E+02	  0.1840E+02	  0.9699E+02	  0.9884E+02	   99.999	   99.999	   20.372	   19.140	       32	   3633	   2540	143	 1	   3.253	     0	         0
000419	 10.9274052	 61.3693444	 -0.9140E+02	  0.1658E+03	  0.9324E+02	  0.9496E+02	   99.999	   99.999	   20.816	   19.727	       22	   2915	   1925	 19	 2	  -0.584	     0	         0
000420	 11.0371731	 61.3697833	 -0.1801E+02	 -0.1018E+03	  0.8405E+02	  0.8519E+02	   99.999	   99.999	   20.780	   20.535	       11	   2367	   1357	 93	 2	   0.367	     0	         0
000421	 11.0845429	 61.3697845	  0.4051E+02	  0.9576E+02	  0.9445E+02	  0.9665E+02	   99.999	   99.999	   20.709	   20.217	       13	   2362	   1520	115	 2	  -1.399	     0	         0
000422	 11.0986348	 61.3700182	 -0.8548E+01	 -0.3201E+01	  0.8918E+01	  0.9064E+01	   99.999	   20.028	   99.999	   19.918	       19	   2445	   2136	 49	 2	  -0.491	     0	         0
000423	 11.2570135	 61.3701563	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.570	       10	   2906	   1276	  5	 1	   3.959	     0	         0
000424	 11.2495485	 61.3702783	  0.7155E+01	 -0.4696E+01	  0.2777E+01	  0.2431E+01	   17.346	   16.324	   16.415	   16.139	      120	   5273	   4627	 83	 2	  -0.774	     0	         0
000425	 10.9032511	 61.3704915	 -0.2146E+01	 -0.4583E+01	  0.4258E+01	  0.4211E+01	   19.859	   18.794	   18.613	   17.781	       68	   4348	   3401	155	 2	   1.553	     0	         0
000426	 10.9505923	 61.3705700	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.725	        8	   1952	   1201	 19	 2	  -1.131	     0	         0
000427	 11.0158653	 61.3706170	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.435	       12	   2493	   1581	 45	 2	   0.644	     0	         0
000428	 11.1656944	 61.3706903	 -0.4054E+02	  0.2047E+02	  0.7709E+02	  0.7744E+02	   99.999	   99.999	   20.717	   19.593	       25	   3022	   2206	 42	 2	   1.349	     0	         0
000429	 11.2815424	 61.3707929	  0.1390E+02	  0.2310E+01	  0.8335E+01	  0.8440E+01	   21.419	   19.712	   19.997	   19.143	       27	   3861	   2297	 61	 1	   0.883	     0	         0
000430	 10.8354868	 61.3708610	  0.9707E+01	 -0.2128E+02	  0.6534E+01	  0.6574E+01	   20.362	   18.593	   19.131	   18.557	       51	   3828	   3099	  0	 2	   1.568	     0	         0
000431	 10.8992048	 61.3710392	 -0.1078E+02	  0.7060E+01	  0.6727E+01	  0.6635E+01	   21.456	   20.185	   20.164	   19.359	       33	   3550	   2351	 99	 2	   1.682	     0	         0
000432	 11.2178398	 61.3711538	 -0.1807E+01	  0.4053E+01	  0.5459E+01	  0.5454E+01	   19.671	   18.149	   18.548	   17.533	       84	   5500	   3600	 40	 1	   3.230	     0	         0
000433	 11.2063755	 61.3712048	 -0.1725E+02	  0.5698E+01	  0.4492E+01	  0.4457E+01	   20.401	   18.979	   19.095	   17.572	       72	   4015	   3753	 38	 2	   0.086	     0	         0
000434	 10.8456636	 61.3712329	  0.5295E+02	 -0.4708E+02	  0.9518E+02	  0.9780E+02	   99.999	   99.999	   20.646	   20.518	       11	   1927	   1634	 72	 2	  -0.117	     0	         0
000435	 11.1853107	 61.3713280	  0.6605E+01	 -0.1370E+02	  0.9284E+02	  0.9387E+02	   99.999	   99.999	   21.498	   20.494	       10	   1895	   1483	136	 2	  -0.680	     0	         0
000436	 10.8529396	 61.3713320	  0.5956E+02	 -0.6654E+01	  0.6097E+02	  0.6115E+02	   22.334	   99.999	   20.386	   19.247	       26	   4353	   2157	 33	 1	   4.245	     0	         0
