,DEGREES{IHMS.3},DEGREES{+IDMS.2},mas/yr          ,mas/yr          ,mas/yr          ,mas/yr          ,magnitude       ,magnitude       ,magnitude       ,magnitude       ,pixels          ,0.01 micron     ,0.01 micron     ,degrees         ,                ,sigma           ,                ,                
,DOUBLE,DOUBLE,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,REAL,INTEGER,INTEGER
,F11.7,F11.7,E12.4,E12.4,E12.4,E12.4,F7.3 ,F7.3 ,F7.3 ,F7.3 ,I9   ,I7   ,I7   ,I3   ,I2   ,F8.3 ,I6   ,I10  
id,ra,dec,MU_ACOSD,MU_D,SIGMU_A,SIGMU_D,B_J,R_1,R_2,I,AREA,A_I,B_I,PA,CLASS,N_0_1,BLEND,QUALITY
42,10.8283935,61.3302395,-15.04,15.97,8.354,8.455,22.243,19.934,20.428,19.712,25,2980,2302,71,2,0.908,1,0
43,11.1505608,61.330373,-159.8,-81.47,99.2,101.5,99.999,99.999,21.065,20.126,15,2449,1835,116,2,0.443,0,0
44,11.3133742,61.33042,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.513,9,1985,1355,151,2,-1.126,0,0
45,11.0380422,61.3304446,17.14,9.317,5.632,5.588,20.929,19.47,19.45,17.969,64,4443,3417,80,1,2.809,0,0
46,11.0490688,61.3304675,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.413,12,2561,1389,86,2,0.759,0,0
47,11.2758913,61.3305248,3.109,1.027,4.448,4.352,20.159,18.855,18.898,18.178,48,3404,3060,116,2,-1.096,0,0
48,11.0321585,61.3305953,6.799,2.993,8.551,8.697,21.891,19.954,20.38,18.993,31,4277,2222,150,1,1.303,0,0
49,11.0593838,61.3306325,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.6,15,3463,2540,18,1,5.361,0,0
50,11.2951977,61.3308795,-5.128,3.426,6.104,6.003,21.217,19.817,19.798,18.585,43,3423,2793,44,2,-0.286,0,0
51,11.1847681,61.330915,-3.522,-2.992,3.163,3.012,18.726,17.736,17.479,16.974,92,4336,4258,41,2,-0.286,0,0
52,10.8186338,61.3310714,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.32,8,3093,1629,0,1,2.598,0,0
53,11.2892882,61.3312714,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.556,18,3668,2464,125,1,4.978,0,0
54,11.0907733,61.3314496,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.962,18,3294,1894,109,2,-0.754,0,0
55,10.9634397,61.3314536,0.8914,-4.302,3.972,3.881,20.601,18.554,18.561,17.358,89,4463,4056,140,2,1.121,0,0
