,DEGREES{IHMS.3},DEGREES{+IDMS.2},mas/yr          ,mas/yr          ,mas/yr          ,mas/yr          ,magnitude       ,magnitude       ,magnitude       ,magnitude       ,pixels          ,0.01 micron     ,0.01 micron     ,degrees         ,                ,sigma           ,                ,                
,DOUBLE,DOUBLE,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,REAL,INTEGER,INTEGER
,F11.7,F11.7,E12.4,E12.4,E12.4,E12.4,F7.3 ,F7.3 ,F7.3 ,F7.3 ,I9   ,I7   ,I7   ,I3   ,I2   ,F8.3 ,I6   ,I10  
id,ra,dec,MU_ACOSD,MU_D,SIGMU_A,SIGMU_D,B_J,R_1,R_2,I,AREA,A_I,B_I,PA,CLASS,N_0_1,BLEND,QUALITY
458,11.2285152,61.3734468,0.9234,9.588,3.175,2.929,18.755,17.38,17.553,16.879,156,6942,5170,153,1,4.924,2,0
459,11.0176977,61.3736307,4.419,3.562,6.556,6.457,21.15,20.018,20.011,19.329,30,2817,2572,75,2,-0.698,0,0
460,10.9718725,61.3736766,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.674,17,4457,2132,39,1,5.15,0,0
461,11.0258176,61.3736846,-3.9,10.1,6.807,6.774,21.661,20.165,20.366,19.982,18,2915,1806,145,2,0.223,0,0
462,11.2834429,61.3737041,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.579,18,3566,2042,177,1,4.178,0,0
463,11.1416874,61.3737573,-115.8,72.97,4.737,4.735,21.95,99.999,19.796,18.315,47,3567,2991,85,2,-0.422,1,0
464,11.1313667,61.3738181,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.506,23,4845,1749,108,1,3.566,0,0
465,11.0844306,61.3738599,10.82,-0.3113,3.857,3.758,19.697,18.446,18.257,17.778,72,4080,3711,74,2,0.492,0,0
466,11.1192458,61.3738742,-32.12,-91.15,106.6,109.2,99.999,99.999,20.813,19.771,19,3975,2050,119,1,3.638,0,0
467,11.0368717,61.3740673,1.647,-2.105,3.315,2.712,15.65,13.312,13.265,12.032,371,9394,8323,45,2,0.012,0,0
468,10.9476358,61.3744208,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.783,15,3241,1703,119,1,2.405,0,0
469,11.2253731,61.3745394,12.66,8.206,8.111,8.23,21.668,19.903,19.962,18.885,36,3273,2804,38,2,-0.496,1,0
470,11.0511337,61.3748523,8.483,7.266,2.804,2.413,17.143,15.788,15.688,15.309,153,5712,5521,20,2,-0.321,0,0
471,10.886857,61.3749204,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.638,9,1921,1546,135,2,-0.929,0,0
472,11.271385,61.3753708,9.807,-5.549,5.594,5.499,20.41,19.54,19.183,18.478,46,3608,2935,151,2,0.917,0,0
473,11.2785848,61.3754739,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.337,13,2809,1647,171,2,1.548,0,0
474,11.2912919,61.3756212,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.558,10,2652,1482,127,2,0.651,0,0
475,10.8137321,61.3757106,9.582,-4.484,6.028,5.972,21.515,19.793,19.745,18.488,50,3695,3110,48,2,1.099,0,0
476,11.0926382,61.3758555,-1.256,0.5041,3.045,2.798,18.543,17.481,17.283,16.656,110,5120,4367,52,2,0.791,0,0
477,10.9753085,61.3758572,-1.582,1.48,6.335,6.246,99.999,20.02,19.869,18.348,53,3975,2893,9,2,0.627,0,0
478,11.209383,61.3759145,116.5,20.03,53.79,54.41,21.85,99.999,20.713,19.519,25,2793,2324,169,2,0.574,0,0
479,11.0253209,61.3760045,2.681,2.171,4.988,4.895,20.235,19.151,19.184,18.639,42,3453,2623,86,2,-0.331,0,0
480,11.1501443,61.3761661,-4.146,3.325,6.983,6.903,21.789,20.236,19.987,18.754,40,3603,2853,153,1,2.501,0,0
481,11.1033886,61.3762698,15.79,9.579,8.521,8.63,21.947,19.639,19.814,19.803,14,2139,1629,46,4,-3.006,0,0
482,11.1813653,61.3762795,57.73,41.47,50.74,50.65,22.037,99.999,20.674,19.814,21,2450,2310,121,2,0.145,0,0
483,11.1692267,61.3762858,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.798,13,2072,1534,179,4,-4.65,0,0
484,10.8967841,61.376562,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.934,12,4317,1236,40,1,3.484,0,0
485,10.88703,61.3766038,670.1,-340.7,59.91,59.93,99.999,99.999,19.79,19.022,36,4498,2785,83,1,4.65,2,0
486,11.1958188,61.3766324,-61.04,87.73,57.26,58.19,22.026,99.999,21.022,19.96,17,2443,1843,61,2,-0.746,0,0
487,10.9067684,61.3766611,-4.91,-1.428,2.759,2.415,18.304,16.185,16.132,15.265,158,6169,5151,63,2,-0.104,0,0
488,10.9222091,61.3767029,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.714,13,2616,1586,112,1,2.398,0,0
489,10.8733558,61.3769441,-0.6942,-0.7773,2.953,2.708,18.363,17.246,17.357,16.724,97,4750,4234,27,2,-0.578,0,0
490,11.3214449,61.377049,3.591,0.4749,5.02,4.927,20.401,19.236,18.956,18.162,59,3952,3319,91,2,1.638,0,0
491,11.2646963,61.3771533,-54.86,-137.9,8.466,8.569,22.284,99.999,20.129,18.711,48,6314,2284,143,1,8.089,0,0
492,11.1003193,61.3772335,2.056,-2.705,7.367,7.31,99.999,20.847,20.548,19.329,29,3596,2216,119,2,1.487,0,0
493,10.8841349,61.377265,11.31,-3.862,8.258,8.383,22.345,20.002,19.69,19.09,38,3546,2841,92,2,2.176,1,0
494,10.8666305,61.3772891,-3.136,4.669,3.687,3.59,20.103,18.299,18.34,17.432,77,4316,3657,20,2,-0.252,0,0
495,11.2410395,61.3772919,4.22,1.616,3.591,3.496,19.302,18.257,18.093,17.247,90,4457,4091,90,2,0.811,0,0
496,11.1144725,61.377332,-11.76,-1.698,3.42,3.275,19.293,18.092,17.792,17.052,90,4567,4055,59,2,0.019,0,0
497,11.0460138,61.3776913,-5.199,12.41,6.288,6.248,20.422,19.758,19.41,18.555,49,3985,3279,94,1,4.103,0,0
498,11.0357493,61.3777675,2.92,-7.842,8.123,8.226,21.146,19.633,20.129,19.767,23,2788,2264,69,2,0.33,0,0
499,11.2479986,61.3778695,-0.3927,-1.56,4.241,4.148,19.981,18.705,18.508,17.677,77,4721,3502,160,2,2.772,0,0
500,11.2610219,61.3778941,-72.83,-37.57,92.27,92.65,99.999,99.999,21.028,19.053,30,3852,2374,86,1,2.766,0,0
501,11.2177642,61.3779674,59.63,-72.09,98.54,101.2,99.999,99.999,20.885,20.477,10,2180,1349,40,2,-0.1,0,0
502,11.2532876,61.3780213,1.05,-3.761,4.814,4.76,19.948,19.103,19.087,18.306,52,3934,2920,73,2,1.135,0,0
503,10.9155043,61.3780402,-237,-56.84,61.29,61.76,22.179,99.999,20.87,19.487,21,4559,1825,73,1,3.166,0,0
504,10.9848981,61.3782218,-5.771,-7.164,7.207,7.142,22.188,20.24,20.596,19.072,33,3830,2505,28,1,2.563,0,0
505,11.0227609,61.3783439,-1.744,-3.496,3.169,3.023,18.88,17.75,17.686,16.981,90,4384,4204,179,2,-0.717,0,0
506,11.1896222,61.3783931,3.407,-2.834,6.356,6.302,21.241,19.893,20.051,19.169,30,3064,2503,115,2,0.189,0,0
507,11.1515572,61.3785817,-7.516,5.143,8.36,8.499,21.667,20.012,19.842,19.359,28,3494,2155,80,2,1.182,0,0
508,11.063324,61.3786722,14.5,-12.36,6.676,6.622,21.936,20.162,20.34,18.979,34,2852,2726,171,2,-1.284,0,0
509,11.2317765,61.3786928,14.1,-1.732,6.13,6.078,21.878,19.801,19.759,18.84,42,3350,3032,56,2,1.168,0,0
510,11.2660405,61.3787369,3.465,12.36,8.408,8.512,21.335,19.727,19.59,18.7,40,3644,3020,125,1,2.899,0,0
511,11.0962536,61.3788888,68.53,-42.78,92.17,92.97,99.999,99.999,20.853,19.355,22,3453,1882,126,1,3.518,0,0
512,10.9553129,61.3790406,-7.196,-3.719,3.053,2.805,18.618,17.468,17.246,16.788,103,4633,4375,30,2,-0.312,0,0
513,11.204989,61.3792692,0.1807,-3.207,4.243,4.2,20.256,18.759,18.712,17.895,61,3771,3494,110,2,0.07,0,0
514,11.1963109,61.3792864,6.528,6.031,5.366,5.266,20.658,19.39,19.488,18.392,53,3527,3434,176,2,0.585,0,0
515,11.3147768,61.379299,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.573,18,3608,1707,165,1,3.294,0,0
516,11.1596766,61.3793964,26.39,11.32,8.49,8.591,99.999,19.867,21.07,19.915,21,2571,2336,111,2,2.007,0,0
517,11.0720954,61.3795351,-4.095,0.6652,3.221,3.076,19.261,17.804,17.683,16.982,92,4901,3926,11,2,-0.074,0,0
518,10.8172707,61.3796892,-10.92,5.608,7.109,7.024,99.999,20.405,20.579,19.522,27,2795,2601,165,2,0.584,0,0
519,11.0568289,61.3797024,-2.613,7.491,7.279,7.311,21.026,18.966,18.983,18.181,62,4182,3633,143,2,1.317,0,0
520,11.025251,61.3797585,-3.71,135.3,53.31,53.21,22.318,99.999,21.169,19.96,17,2255,2068,101,2,-0.557,0,0
521,11.2222676,61.3798078,-6.184,-5.324,2.995,2.751,18.479,17.39,17.335,16.645,99,4631,4424,163,2,-0.791,0,0
522,11.0921856,61.3798616,-14.21,10.16,3.501,3.356,19.59,18.112,17.989,17.302,86,4474,3950,88,2,0.725,0,0
523,11.2147424,61.3799207,1.717,8.617,8.506,8.654,21.645,19.993,19.651,18.649,41,3874,2678,137,1,3.255,0,0
524,11.2814754,61.3800249,90.39,87.51,84.17,84.52,99.999,99.999,21.036,20.002,16,2526,1724,92,2,-0.556,0,0
525,11.0468417,61.3800438,-2.628,2.653,6.374,6.277,21.047,19.912,19.973,19.111,37,3494,2706,36,2,1.672,0,0
526,10.800675,61.3800931,-4.944,-2.568,4.17,4.074,20.411,18.588,18.573,17.357,104,5438,4204,168,1,2.997,0,0
527,10.8960083,61.3802209,0.7116,-1.76,6.823,6.721,21.598,20.343,19.943,19.237,31,3264,2328,139,2,0.24,2,0
528,10.8622811,61.3804988,-19.39,36.99,4.531,4.48,19.667,17.72,18.479,17.787,62,3619,3512,71,2,-1.655,0,0
529,11.1020754,61.3805217,-22.76,98.7,84.81,85.53,99.999,99.999,20.995,20.228,14,2457,1607,99,2,0.098,0,0
530,11.1563597,61.3805475,4.437,-0.4228,5.423,5.333,20.938,19.416,19.518,18.424,50,3584,3014,95,2,-0.111,0,0
531,11.260151,61.380579,-84.52,-31.88,49.09,49.17,21.639,99.999,20.355,19.866,18,2691,1735,136,2,-0.47,0,0
532,11.1255713,61.380681,2.371,-6.238,3.285,3.13,19.544,17.946,17.609,16.417,119,5200,4758,140,2,0.276,0,0
533,11.3083271,61.3808849,-18.3,9.794,65.55,66.88,22.021,99.999,20.353,19.283,25,3469,2060,174,1,3.451,0,0
534,11.1402407,61.3809073,24.79,-17.58,6.912,6.855,21.815,20.443,20.402,19.151,32,3046,2477,113,2,0.306,0,0
535,11.1900886,61.3809399,26.79,77.58,81.27,82.1,99.999,99.999,20.119,19.433,27,2806,2512,1,2,0.485,0,0
536,10.9945966,61.3809422,11.24,-2.332,2.988,2.487,15.837,14.478,14.463,14.307,206,6559,6481,87,2,-0.354,0,0
537,10.8429713,61.380952,1.014,-1.984,3.091,2.53,15.01,13.817,14.002,13.679,261,7276,7104,119,2,0.186,3,0
538,10.9718347,61.3810505,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.497,11,2485,1632,19,2,0.53,0,0
539,11.032724,61.3811038,92.75,-162.9,98.41,99.61,99.999,99.999,21.1,19.824,12,2682,1514,141,1,2.562,0,0
540,11.2945572,61.3812024,15.46,-1.503,7.216,7.173,99.999,20.671,20.342,19.425,29,3125,2581,170,2,2.108,0,0
541,10.9822138,61.3813135,-2.109,22.2,8.767,8.932,99.999,19.825,20.305,18.915,39,3950,3512,67,1,5.185,0,0
542,11.0641703,61.3813748,6.926,12.12,7.175,7.135,21.913,20.62,20.479,19.799,20,2973,2215,86,2,-0.198,0,0
543,10.8981385,61.3815874,1.014,6.769,4.794,4.745,20.128,17.938,18.315,17.354,76,4172,3760,39,2,-0.781,1,0
544,10.8870386,61.3818194,-3.92,4.371,2.759,2.42,18.151,16.4,16.591,15.251,158,5771,5525,177,2,-0.619,0,0
545,10.8190337,61.3818876,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.614,10,2552,1198,160,2,0.861,0,0
546,10.8362345,61.3821111,-25.51,5.931,2.801,2.512,18.046,16.513,17.019,16.74,101,4687,4464,150,2,-0.351,2,0
547,11.1106285,61.3822217,-6.774,0.1972,6.887,6.803,21.827,20.24,20.556,19.694,24,2968,2268,62,2,2.039,0,0
548,11.0922354,61.3822239,-3.777,7.545,4.627,4.526,19.675,19.02,18.633,18.032,64,4422,3188,108,2,0.993,0,0
549,11.3111993,61.38224,5.754,0.4067,8.421,8.567,21.786,19.838,20.29,18.896,36,3439,2700,68,1,2.515,0,0
550,10.9807533,61.3822509,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.716,8,1643,1391,45,2,-1.531,0,0
551,11.1158339,61.3823087,-0.9546,-4.023,2.756,2.413,16.792,16.018,15.839,15.312,150,5861,5192,49,2,-0.775,0,0
552,11.228537,61.3823443,21.84,2.515,7.862,7.953,21.542,19.855,20.098,18.166,58,3823,3386,72,2,0.629,0,0
553,11.1486987,61.3823678,-94.51,-356.6,98.54,99.31,99.999,99.999,21.281,19.496,20,4973,1698,7,1,4.73,0,0
554,11.1040447,61.3823781,-6.351,0.4363,6.621,6.511,20.972,20.29,19.56,18.706,39,3169,2738,33,2,-0.969,0,0
555,11.045002,61.3824823,-0.8034,4.148,2.825,2.478,17.416,16.654,16.309,16.124,131,6509,4079,69,2,0.921,0,0
556,11.2141712,61.382676,11.4,-6.124,2.892,2.647,18.797,17.115,17.274,16.363,113,4973,4712,127,2,0.054,2,0
557,11.2575521,61.3827425,-6.946,-5.668,6.149,6.109,20.699,19.733,19.723,18.397,53,3709,3409,149,1,3.39,0,0
558,11.3014945,61.3827453,-9.195,-4.261,5.429,5.336,20.289,19.482,19.189,18.25,54,4127,3030,73,2,1.142,0,0
559,10.9335433,61.3828267,120,-36.37,97.33,100.3,99.999,99.999,20.696,20.756,8,2061,1403,90,2,1.265,0,0
560,11.1878335,61.3828427,6.929,10.06,7.42,7.459,20.849,18.855,19.032,18.079,62,5108,2839,19,1,4.331,0,0
561,11.1594944,61.382978,-0.8332,3.691,5.199,5.146,20.575,19.254,19.417,18.569,45,3250,3065,7,2,-0.346,0,0
562,11.1768991,61.3833899,57.29,-8.474,54.34,54.87,22.126,99.999,21.086,19.282,28,3161,2191,161,2,0.177,0,0
563,10.8384604,61.3835922,2.599,-58.12,76.7,77.06,99.999,99.999,20.705,19.602,23,3071,1853,71,2,0.12,1,0
564,10.9071993,61.3837039,-7.927,2.907,3.172,2.98,18.926,17.713,17.796,16.964,91,4481,4171,73,2,-0.484,0,0
565,11.0710578,61.3837371,13.6,-8.566,7.445,7.382,99.999,20.75,20.451,19.978,15,2298,1763,89,2,-2.26,0,0
566,10.8810037,61.3837893,-10.26,2.61,5.632,5.531,21.004,19.538,19.642,18.359,56,3952,3158,52,2,1.037,0,0
567,10.9128533,61.3838013,5.154,-1.253,4.658,4.558,20.258,18.991,19.057,18.189,59,4107,3213,63,2,1.458,0,0
568,10.8654026,61.3840288,-138.7,50.04,91.71,92.74,99.999,99.999,21.426,20.419,12,2645,1555,37,2,0.131,0,0
569,11.1224911,61.384121,4.534,4.558,2.797,2.402,17.069,15.755,15.496,14.741,179,6266,5806,61,2,-0.16,0,0
570,11.1713758,61.3842367,7.044,-4.316,7.273,7.235,21.648,20.674,20.698,20.054,16,2412,1998,2,2,0.355,0,0
571,11.2648739,61.3842442,5.86,1.796,7.011,7,21.612,19.996,19.93,18.978,37,4582,2625,101,1,5.123,0,0
572,11.2413248,61.3844264,57.3,15.85,91.01,92.89,99.999,99.999,20.553,20.048,16,2793,1762,177,2,0.484,0,0
573,11.1978058,61.3844487,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.579,9,2036,1258,127,2,-0.421,0,0
574,11.0897431,61.3844602,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.576,10,2570,1224,142,2,0.203,0,0
575,11.2675273,61.3846286,87.21,27.05,7.254,7.265,99.999,99.999,20.675,19.719,11,2977,1177,40,1,2.38,0,0
576,10.8263412,61.384769,-5.572,-10.97,8.609,8.808,21.825,20.145,19.756,18.496,46,4709,2583,76,1,4.597,0,0
577,11.2118066,61.3847742,-24.19,4.547,5.28,5.18,20.656,19.244,18.71,17.607,100,7323,3864,98,1,8.625,1,0
578,11.0641302,61.3847868,-131.8,-12.36,57.65,58.89,21.786,99.999,20.98,20.25,15,3107,1481,106,2,1.463,0,0
579,10.8326042,61.384934,-4.667,-4.304,54.44,54.61,22.292,99.999,20.715,20.201,14,2091,1750,126,2,-2.007,0,0
580,10.843597,61.3849655,3.489,6.848,4.318,4.227,20.971,18.806,18.814,17.681,69,3984,3559,47,2,-0.459,0,0
581,10.9839201,61.3850194,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.697,9,3030,1108,12,1,2.698,0,0
582,11.0371754,61.3851323,-3.287,2.785,3.405,3.254,19.046,17.993,17.947,17.352,86,4434,4028,127,2,0.423,0,0
583,11.1814816,61.3851351,2.617,0.6707,6.612,6.511,21.512,20.241,20.027,18.629,46,3445,2970,79,2,0.442,0,0
584,11.1286607,61.3851638,-140.5,-89.12,87.13,88.18,99.999,99.999,21.157,20.275,11,2080,1433,76,2,-1.602,0,0
585,10.9670923,61.3854978,179.6,9.468,87.75,88.13,99.999,99.999,20.918,18.741,39,3408,2909,26,1,2.62,0,0
586,11.0804703,61.3856032,12.74,1.389,7.997,8.095,22.019,19.208,19.42,18.524,49,4386,3250,72,1,5.148,0,0
587,10.8692895,61.3857173,1.751,-1.199,4.419,4.365,20.062,18.636,18.691,17.796,76,4985,3341,41,1,2.842,0,0
588,10.8292753,61.3860135,-3.499,-8.991,6.998,6.926,99.999,20.18,20.542,19.796,21,2619,2370,139,2,-0.255,0,0
589,11.1994788,61.3861384,-0.01681,-19.58,7.586,7.635,21.426,18.875,19.223,18.583,51,4807,3408,163,1,4.153,1,0
590,11.2862384,61.386245,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.042,9,2682,1241,82,1,1.957,0,0
591,11.2435043,61.3863521,-0.1017,4.772,2.873,2.579,18.084,16.962,16.692,16.154,117,5055,4750,179,2,-0.854,0,0
592,11.0176467,61.3865297,6.587,-1.01,7.595,7.678,21.146,19.164,19.858,18.763,43,3758,2656,58,2,1.176,0,0
593,10.8582721,61.3865618,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.108,11,3147,989,3,1,2.256,0,0
594,10.801476,61.386571,-1.696,-2.518,3.249,3.053,19.12,17.761,18.018,17.157,102,5334,3979,1,2,2.696,0,0
595,11.0482764,61.3865933,5.104,-9.324,6.929,6.882,22.366,20.385,20.561,19.304,30,3027,2375,34,2,0.324,0,0
596,10.9279627,61.3868173,-6.308,3.393,7.535,7.617,21.502,19.157,19.72,18.571,48,4034,2645,93,2,0.981,2,0
597,11.1729996,61.3868924,-3.871,-0.7414,2.982,2.735,18.686,17.347,17.061,16.319,122,5457,4594,22,2,0.669,0,0
598,10.8227436,61.3869245,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.718,8,1689,1326,135,2,-1.107,0,0
599,11.111221,61.38694,33.24,-4.544,4.159,3.181,14.062,11.786,12.803,12.236,384,9572,8419,162,2,1.398,0,0
600,11.1992983,61.3870219,-2.497,6.182,7.664,7.711,99.999,18.875,19.223,19.063,36,4380,2840,21,1,3.367,2,0
601,11.2506978,61.3870328,3.786,6.583,2.818,2.519,19.049,16.849,16.753,15.477,140,5470,5271,6,2,-0.74,0,0
602,11.2676683,61.3870408,1.705,-1.234,5.943,5.843,20.995,19.716,19.481,18.646,47,3695,2988,107,2,1.652,0,0
603,11.2759481,61.3871153,30.09,81.68,88.9,89.22,99.999,99.999,21.493,19.796,20,2531,2119,112,2,0.072,0,0
604,11.1667864,61.3873261,-54.1,-115.7,55.69,56.65,21.692,99.999,20.947,19.972,18,2576,1913,87,2,0.313,0,0
605,11.3200423,61.3873634,-4.645,-2.104,5.692,5.647,21.18,19.487,19.295,18.172,60,4762,3110,90,1,2.708,0,0
606,11.1332936,61.3874356,-4.433,-2.942,4.164,4.118,20.352,18.749,18.57,17.398,78,4447,3619,86,2,0.416,0,0
607,11.1946482,61.3875771,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.638,26,2832,2532,14,2,1.936,0,0
608,10.9448621,61.3880652,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.449,27,3306,2316,46,2,0.993,0,0
609,10.8481125,61.3880979,-3.33,-14.06,5.511,5.422,21.502,19.51,19.828,18.084,63,3802,3407,71,2,0.177,0,0
610,10.926614,61.388134,3.576,7.271,5.808,5.708,20.843,19.627,19.474,18.684,43,3826,2762,74,2,0.955,1,0
611,11.0914981,61.3881369,0.08011,1.873,6.701,6.607,20.79,20.064,19.165,18.063,65,4531,3762,143,1,4.672,0,0
612,11.2369434,61.3882154,15.21,6.757,6.145,6.087,21.411,19.931,20.18,18.183,62,3902,3624,177,2,2.014,0,0
613,11.2205969,61.3884663,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.077,10,2936,1336,172,1,1.925,0,0
614,11.0683391,61.3885929,-3.33,2.58,2.938,2.638,17.994,17.206,16.834,16.499,120,5559,4330,63,2,0.979,0,0
615,11.0622892,61.3886336,11.6,-5.751,6.178,6.144,21.076,19.616,20.034,18.62,42,3892,2836,3,1,2.615,0,0
616,11.3099932,61.3888399,-84.36,69.81,8.835,8.987,99.999,99.999,21.222,19.261,18,3782,2117,89,1,5.949,0,0
617,11.1370751,61.3889917,6.933,11.14,3.571,3.427,19.839,18.221,17.897,17.031,91,4423,4180,168,2,-0.092,0,0
618,11.0424196,61.3892948,135.6,-36.77,88.57,89.63,99.999,99.999,21.181,20.446,11,2228,1374,32,2,-0.802,0,0
619,11.1492138,61.3895922,2.49,-6.486,3.767,3.669,19.818,18.392,18.204,17.43,71,4106,3640,49,2,-0.936,0,0
620,10.9770698,61.3897956,23.4,-0.5133,3.451,3.343,19.7,18.162,18.115,16.566,108,4737,4650,168,2,-0.234,0,0
621,10.9135826,61.389803,38,230.4,99.42,102,99.999,99.999,20.874,20.693,8,2267,973,0,2,-0.928,0,0
622,11.293798,61.3900826,0.7866,3.244,5.316,5.267,20.404,19.317,19.21,17.887,84,6212,3496,145,1,6.61,0,0
623,11.0579714,61.3901371,-3.426,2.929,6.639,6.595,21.212,20.103,20.113,19.495,25,2842,2321,5,2,-0.453,0,0
624,10.9907543,61.3902373,-2.685,-2.418,4.908,4.817,21.01,19.212,19.017,17.752,69,3983,3604,54,2,0.14,0,0
625,10.8028963,61.3906871,111.8,40.87,83.66,84.5,99.999,99.999,20.253,19.457,28,3362,2219,29,2,1.236,0,0
626,10.8629068,61.3907341,-5.69,1.011,2.777,2.483,17.622,16.544,16.635,16.216,121,5091,4773,106,2,-0.862,0,0
627,11.0239882,61.3908321,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.739,8,2207,1032,35,2,0.306,0,0
628,10.9561723,61.3908533,-146.9,107.4,87.06,87.77,99.999,99.999,21.105,20.36,13,2654,1724,129,2,0.68,0,0
629,11.0556045,61.3909421,7.043,8.715,6.755,6.716,21.859,20.171,20.282,19.654,26,2917,2404,107,2,0.853,0,0
630,11.1971194,61.3909856,-31.36,-32.5,91.5,92.17,99.999,99.999,21.497,20.26,13,2306,1761,9,2,0.43,0,0
631,10.8480506,61.3910962,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.041,11,2004,1428,153,4,-3.899,0,0
632,11.3108887,61.3911993,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.28,8,2564,891,10,1,-0.006,0,0
633,11.2320314,61.3912709,0.1762,4.153,6.863,6.819,21.284,20.393,19.952,19.377,31,3393,2605,75,2,1.886,0,0
634,10.8547685,61.3912893,-73.3,-42.39,47.72,47.81,21.56,99.999,20.644,19.686,24,3090,2132,9,2,0.701,0,0
635,11.2553055,61.3913305,5.976,1.526,5.22,5.128,20.839,19.238,19.154,17.771,81,6196,4058,24,1,3.07,2,0
636,10.938708,61.3915477,8.686,31.3,8.21,8.312,21.277,19.511,20.146,18.806,40,4865,2202,47,1,5.322,0,0
637,10.9280275,61.3917402,-68.46,0.8616,50.98,50.63,22.238,99.999,20.684,19.635,26,3029,2282,125,2,1.239,0,0
638,10.8438118,61.3917952,-5.175,2.361,8.134,8.217,21.399,19.729,20.162,19.33,28,2790,2404,34,2,-0.909,0,0
639,11.0644705,61.3918279,209.4,162.7,105.6,107.8,99.999,99.999,20.861,19.459,22,3580,2213,138,1,4.339,0,0
640,10.8817732,61.3918542,7.046,-1.215,6.05,5.987,21.466,19.738,19.762,18.884,40,3724,2524,88,2,0.532,0,0
641,10.9186688,61.3919064,23.71,-101.6,53.68,53.85,22.115,99.999,20.592,20.226,14,2364,1956,17,2,-0.772,0,0
642,11.1718061,61.3920771,0.6574,2.902,3.661,3.516,19.79,18.29,18.162,17.366,81,4660,3564,38,2,0.282,0,0
643,10.8187323,61.3923366,107.5,-90.47,95,96.48,99.999,99.999,20.023,19.457,21,4110,1989,133,1,4.092,0,0
644,10.837656,61.3923493,-12.65,-4.576,7.025,6.951,21.89,20.3,20.609,19.886,20,2938,1976,29,2,1.138,0,0
645,11.1324496,61.3925395,135.2,-100.8,102.8,105.9,99.999,99.999,21.148,20.618,9,2587,1140,119,2,-0.238,0,0
646,11.2567414,61.392559,8.271,13.93,5.481,5.52,20.33,18.163,18.702,17.436,110,5610,4726,146,1,2.833,1,0
647,11.0265573,61.3926117,-2.608,-3.289,3.115,2.921,18.607,17.625,17.539,16.95,103,5379,4087,2,2,1.243,0,0
648,10.8487845,61.393007,0.4593,6.973,4.442,4.395,19.915,18.755,19.068,17.798,80,4775,3816,165,1,4.184,0,0
649,11.1084977,61.3930311,-3.852,10.13,2.924,2.674,18.674,17.311,17.187,15.906,139,5624,5004,17,2,0.816,2,0
650,11.114657,61.3931755,3.288,2.899,2.917,2.664,18.732,17.306,16.785,15.771,134,5407,5054,132,2,-0.025,0,0
651,11.2295018,61.3937272,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.532,9,2016,1250,97,2,-0.906,0,0
652,11.2154403,61.3937845,-0.135,5.093,8.483,8.61,22.275,20.273,20.492,19.328,27,3004,2223,141,2,-0.018,0,0
653,10.8607238,61.3942773,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.3,8,2718,932,173,1,0.395,0,0
654,11.2796098,61.394326,5.662,5.384,2.764,2.419,17.097,16.109,16.138,15.675,146,5657,5067,67,2,0.35,2,0
655,10.8760579,61.394377,-0.3835,-0.5425,3.247,3.1,18.96,17.811,17.799,17.291,82,4428,3823,39,2,-0.477,0,0
656,10.9965097,61.3944228,9.828,-2.704,5.627,5.536,22.17,19.594,19.601,18.095,60,4060,3197,10,2,0.724,0,0
657,10.826414,61.3945528,-0.7365,-3.913,3.165,2.966,19.168,17.694,17.696,16.814,98,4572,4399,102,2,-0.501,0,0
658,11.1104125,61.3946846,-3.661,21.76,6.381,6.335,21.088,19.956,19.565,19.218,26,2759,2259,50,2,-2.228,1,0
659,10.9444885,61.3947408,-7.57,-3.008,6.196,6.096,21.043,19.878,19.582,18.683,41,3234,2698,100,2,-1.195,0,0
